name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,percentile
Honbetsu,43.133400,143.562300,-1.0,2025-04-01,2025-04-01,0,50.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-02,2025-04-01,1,100.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-04,2025-04-01,3,100.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-05,2025-04-01,4,95.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-06,2025-04-01,5,89.2
Honbetsu,43.133400,143.562300,3.0,2025-04-01,2025-04-01,0,50.0
Honbetsu,43.133400,143.562300,3.0,2025-04-02,2025-04-01,1,100.0
Honbetsu,43.133400,143.562300,3.0,2025-04-03,2025-04-01,2,100.0
Honbetsu,43.133400,143.562300,3.0,2025-04-04,2025-04-01,3,100.0
Honbetsu,43.133400,143.562300,3.0,2025-04-05,2025-04-01,4,95.0
Honbetsu,43.133400,143.562300,3.0,2025-04-06,2025-04-01,5,89.2
Honbetsu,43.133400,143.562300,3.0,2025-04-09,2025-04-01,8,94.2
Honbetsu,43.133400,143.562300,3.0,2025-04-10,2025-04-01,9,69.5
Honbetsu,43.133400,143.562300,3.0,2025-04-11,2025-04-01,10,59.4
Honbetsu,43.133400,143.562300,3.0,2025-04-12,2025-04-01,11,88.6
Honbetsu,43.133400,143.562300,3.0,2025-04-14,2025-04-01,13,91.9
Honbetsu,43.133400,143.562300,3.0,2025-04-17,2025-04-01,16,82.7
Date,42.493500,140.866200,-1.0,2025-04-01,2025-04-01,0,50.0
Date,42.493500,140.866200,-1.0,2025-04-05,2025-04-01,4,32.8
Date,42.493500,140.866200,3.0,2025-04-01,2025-04-01,0,50.0
Date,42.493500,140.866200,3.0,2025-04-03,2025-04-01,2,100.0
Date,42.493500,140.866200,3.0,2025-04-04,2025-04-01,3,99.5
Date,42.493500,140.866200,3.0,2025-04-05,2025-04-01,4,32.8
Date,42.493500,140.866200,3.0,2025-04-06,2025-04-01,5,56.5
Date,42.493500,140.866200,3.0,2025-04-09,2025-04-01,8,42.6
Date,42.493500,140.866200,3.0,2025-04-10,2025-04-01,9,26.3
Date,42.493500,140.866200,3.0,2025-04-12,2025-04-01,11,60.5
Date,42.493500,140.866200,3.0,2025-04-17,2025-04-01,16,34.2
Kitami,43.770900,143.820100,-1.0,2025-04-01,2025-04-01,0,50.0
Kitami,43.770900,143.820100,-1.0,2025-04-02,2025-04-01,1,96.1
Kitami,43.770900,143.820100,-1.0,2025-04-03,2025-04-01,2,30.1
Kitami,43.770900,143.820100,-1.0,2025-04-04,2025-04-01,3,42.8
Kitami,43.770900,143.820100,-1.0,2025-04-05,2025-04-01,4,85.8
Kitami,43.770900,143.820100,-1.0,2025-04-06,2025-04-01,5,96.2
Kitami,43.770900,143.820100,3.0,2025-04-01,2025-04-01,0,50.0
Kitami,43.770900,143.820100,3.0,2025-04-02,2025-04-01,1,96.1
Kitami,43.770900,143.820100,3.0,2025-04-03,2025-04-01,2,30.1
Kitami,43.770900,143.820100,3.0,2025-04-04,2025-04-01,3,42.8
Kitami,43.770900,143.820100,3.0,2025-04-05,2025-04-01,4,85.8
Kitami,43.770900,143.820100,3.0,2025-04-06,2025-04-01,5,96.2
Kitami,43.770900,143.820100,3.0,2025-04-09,2025-04-01,8,79.3
Kitami,43.770900,143.820100,3.0,2025-04-10,2025-04-01,9,39.1
Kitami,43.770900,143.820100,3.0,2025-04-11,2025-04-01,10,27.0
Kitami,43.770900,143.820100,3.0,2025-04-12,2025-04-01,11,30.6
Kitami,43.770900,143.820100,3.0,2025-04-14,2025-04-01,13,60.2
Chitose,42.923800,141.772500,-1.0,2025-04-01,2025-04-01,0,50.0
Chitose,42.923800,141.772500,-1.0,2025-04-05,2025-04-01,4,96.4
Chitose,42.923800,141.772500,-1.0,2025-04-06,2025-04-01,5,17.1
Chitose,42.923800,141.772500,3.0,2025-04-01,2025-04-01,0,50.0
Chitose,42.923800,141.772500,3.0,2025-04-02,2025-04-01,1,100.0
Chitose,42.923800,141.772500,3.0,2025-04-03,2025-04-01,2,100.0
Chitose,42.923800,141.772500,3.0,2025-04-04,2025-04-01,3,93.8
Chitose,42.923800,141.772500,3.0,2025-04-05,2025-04-01,4,96.4
Chitose,42.923800,141.772500,3.0,2025-04-06,2025-04-01,5,17.1
Chitose,42.923800,141.772500,3.0,2025-04-08,2025-04-01,7,89.2
Chitose,42.923800,141.772500,3.0,2025-04-09,2025-04-01,8,59.6
Chitose,42.923800,141.772500,3.0,2025-04-10,2025-04-01,9,51.8
Chitose,42.923800,141.772500,3.0,2025-04-11,2025-04-01,10,65.3
Chitose,42.923800,141.772500,3.0,2025-04-12,2025-04-01,11,37.4
Chitose,42.923800,141.772500,3.0,2025-04-17,2025-04-01,16,45.6
