name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,percentile
Honbetsu,43.133400,143.562300,-1.0,2025-04-02,2025-04-02,0,50.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-04,2025-04-02,2,55.1
Honbetsu,43.133400,143.562300,-1.0,2025-04-05,2025-04-02,3,25.3
Honbetsu,43.133400,143.562300,-1.0,2025-04-06,2025-04-02,4,47.0
Honbetsu,43.133400,143.562300,3.0,2025-04-02,2025-04-02,0,50.0
Honbetsu,43.133400,143.562300,3.0,2025-04-03,2025-04-02,1,100.0
Honbetsu,43.133400,143.562300,3.0,2025-04-04,2025-04-02,2,55.1
Honbetsu,43.133400,143.562300,3.0,2025-04-05,2025-04-02,3,25.3
Honbetsu,43.133400,143.562300,3.0,2025-04-06,2025-04-02,4,47.0
Honbetsu,43.133400,143.562300,3.0,2025-04-09,2025-04-02,7,62.7
Honbetsu,43.133400,143.562300,3.0,2025-04-10,2025-04-02,8,22.0
Honbetsu,43.133400,143.562300,3.0,2025-04-11,2025-04-02,9,25.9
Honbetsu,43.133400,143.562300,3.0,2025-04-12,2025-04-02,10,50.8
Honbetsu,43.133400,143.562300,3.0,2025-04-14,2025-04-02,12,75.5
Honbetsu,43.133400,143.562300,3.0,2025-04-17,2025-04-02,15,62.8
Honbetsu,43.133400,143.562300,3.0,2025-04-18,2025-04-02,16,14.5
Date,42.493500,140.866200,-1.0,2025-04-05,2025-04-02,3,0.0
Date,42.493500,140.866200,3.0,2025-04-03,2025-04-02,1,0.0
Date,42.493500,140.866200,3.0,2025-04-04,2025-04-02,2,0.0
Date,42.493500,140.866200,3.0,2025-04-05,2025-04-02,3,0.0
Date,42.493500,140.866200,3.0,2025-04-06,2025-04-02,4,0.0
Date,42.493500,140.866200,3.0,2025-04-09,2025-04-02,7,0.0
Date,42.493500,140.866200,3.0,2025-04-10,2025-04-02,8,0.0
Date,42.493500,140.866200,3.0,2025-04-12,2025-04-02,10,0.1
Date,42.493500,140.866200,3.0,2025-04-17,2025-04-02,15,0.0
Date,42.493500,140.866200,3.0,2025-04-18,2025-04-02,16,0.0
Kitami,43.770900,143.820100,-1.0,2025-04-02,2025-04-02,0,50.0
Kitami,43.770900,143.820100,-1.0,2025-04-03,2025-04-02,1,0.0
Kitami,43.770900,143.820100,-1.0,2025-04-04,2025-04-02,2,0.4
Kitami,43.770900,143.820100,-1.0,2025-04-05,2025-04-02,3,77.2
Kitami,43.770900,143.820100,-1.0,2025-04-06,2025-04-02,4,100.0
Kitami,43.770900,143.820100,3.0,2025-04-02,2025-04-02,0,50.0
Kitami,43.770900,143.820100,3.0,2025-04-03,2025-04-02,1,0.0
Kitami,43.770900,143.820100,3.0,2025-04-04,2025-04-02,2,0.4
Kitami,43.770900,143.820100,3.0,2025-04-05,2025-04-02,3,77.2
Kitami,43.770900,143.820100,3.0,2025-04-06,2025-04-02,4,100.0
Kitami,43.770900,143.820100,3.0,2025-04-09,2025-04-02,7,83.4
Kitami,43.770900,143.820100,3.0,2025-04-10,2025-04-02,8,27.5
Kitami,43.770900,143.820100,3.0,2025-04-11,2025-04-02,9,30.8
Kitami,43.770900,143.820100,3.0,2025-04-12,2025-04-02,10,24.7
Kitami,43.770900,143.820100,3.0,2025-04-14,2025-04-02,12,56.0
Kitami,43.770900,143.820100,3.0,2025-04-18,2025-04-02,16,33.4
Chitose,42.923800,141.772500,-1.0,2025-04-05,2025-04-02,3,63.1
Chitose,42.923800,141.772500,-1.0,2025-04-06,2025-04-02,4,17.9
Chitose,42.923800,141.772500,3.0,2025-04-02,2025-04-02,0,50.0
Chitose,42.923800,141.772500,3.0,2025-04-03,2025-04-02,1,86.7
Chitose,42.923800,141.772500,3.0,2025-04-04,2025-04-02,2,31.1
Chitose,42.923800,141.772500,3.0,2025-04-05,2025-04-02,3,63.1
Chitose,42.923800,141.772500,3.0,2025-04-06,2025-04-02,4,17.9
Chitose,42.923800,141.772500,3.0,2025-04-08,2025-04-02,6,30.7
Chitose,42.923800,141.772500,3.0,2025-04-09,2025-04-02,7,22.5
Chitose,42.923800,141.772500,3.0,2025-04-10,2025-04-02,8,18.8
Chitose,42.923800,141.772500,3.0,2025-04-11,2025-04-02,9,24.8
Chitose,42.923800,141.772500,3.0,2025-04-12,2025-04-02,10,10.6
Chitose,42.923800,141.772500,3.0,2025-04-17,2025-04-02,15,19.1
Chitose,42.923800,141.772500,3.0,2025-04-18,2025-04-02,16,1.9
