name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,event_flag,amd_tmp_min,percentile
Honbetsu,43.133400,143.562300,-1.0,2025-04-10,2025-04-10,0,0,-0.80,36.7
Honbetsu,43.133400,143.562300,-1.0,2025-04-11,2025-04-10,1,0,-0.10,41.8
Honbetsu,43.133400,143.562300,-1.0,2025-04-12,2025-04-10,2,0,1.90,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-13,2025-04-10,3,0,5.20,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-14,2025-04-10,4,0,2.90,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-15,2025-04-10,5,0,5.90,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-16,2025-04-10,6,0,6.70,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-17,2025-04-10,7,0,2.80,0.0
Honbetsu,43.133400,143.562300,-1.0,2025-04-18,2025-04-10,8,0,-0.50,4.8
Honbetsu,43.133400,143.562300,-1.0,2025-04-19,2025-04-10,9,0,5.30,11.5
Honbetsu,43.133400,143.562300,-1.0,2025-04-20,2025-04-10,10,0,5.70,4.7
Honbetsu,43.133400,143.562300,-1.0,2025-04-21,2025-04-10,11,0,1.80,1.8
Honbetsu,43.133400,143.562300,-1.0,2025-04-22,2025-04-10,12,0,1.40,3.5
Honbetsu,43.133400,143.562300,-1.0,2025-04-23,2025-04-10,13,0,2.90,5.1
Honbetsu,43.133400,143.562300,-1.0,2025-04-24,2025-04-10,14,0,5.80,5.3
Honbetsu,43.133400,143.562300,-1.0,2025-04-25,2025-04-10,15,0,2.60,11.3
Honbetsu,43.133400,143.562300,-1.0,2025-04-26,2025-04-10,16,1,-1.50,4.2
Honbetsu,43.133400,143.562300,-1.0,2025-04-27,2025-04-10,17,0,-0.60,3.8
Honbetsu,43.133400,143.562300,-1.0,2025-04-28,2025-04-10,18,1,-2.50,2.7
Honbetsu,43.133400,143.562300,-1.0,2025-04-29,2025-04-10,19,0,0.60,2.5
Honbetsu,43.133400,143.562300,-1.0,2025-04-30,2025-04-10,20,0,0.80,1.6
Honbetsu,43.133400,143.562300,-1.0,2025-05-01,2025-04-10,21,0,0.40,0.5
Honbetsu,43.133400,143.562300,-1.0,2025-05-02,2025-04-10,22,0,3.90,2.6
Honbetsu,43.133400,143.562300,-1.0,2025-05-03,2025-04-10,23,0,8.10,1.3
Honbetsu,43.133400,143.562300,-1.0,2025-05-04,2025-04-10,24,0,6.20,0.3
Honbetsu,43.133400,143.562300,-1.0,2025-05-05,2025-04-10,25,0,3.80,0.3
Honbetsu,43.133400,143.562300,-1.0,2025-05-06,2025-04-10,26,0,0.00,1.0
Honbetsu,43.133400,143.562300,-1.0,2025-05-07,2025-04-10,27,0,3.10,2.4
Honbetsu,43.133400,143.562300,-1.0,2025-05-08,2025-04-10,28,0,2.40,6.2
Honbetsu,43.133400,143.562300,-1.0,2025-05-09,2025-04-10,29,0,4.50,3.8
Honbetsu,43.133400,143.562300,-1.0,2025-05-10,2025-04-10,30,0,6.00,0.2
Honbetsu,43.133400,143.562300,-1.0,2025-05-11,2025-04-10,31,0,4.90,0.1
Honbetsu,43.133400,143.562300,-1.0,2025-05-12,2025-04-10,32,0,3.40,0.3
Honbetsu,43.133400,143.562300,3.0,2025-04-10,2025-04-10,0,1,-0.80,50.0
Honbetsu,43.133400,143.562300,3.0,2025-04-11,2025-04-10,1,1,-0.10,81.9
